access_point1,access_point2,dist
1,2,606.5515
1,3,1682.5281
1,4,5364.731
1,5,16081.693
1,6,15910.996
1,31,8913.135
1,30,13503.01
1,29,25831.248
1,24,32404.553
1,23,12086.964
1,25,36575.42
1,27,32992.9
1,28,37716.367
1,26,23339.709
1,22,41185.98
1,10,58236.992
1,11,37247.527
1,12,22126.133
1,13,28643.178
1,32,43167.6
1,33,22338.445
1,14,13889.492
1,15,11968.835
1,7,939.97925
1,8,10214.705
1,9,10305.928
1,16,30998.209
1,17,24900.818
1,18,25584.4
1,19,35537.99
1,20,26231.447
1,21,40886.957
1,34,14697.849
1,35,16565.14
1,36,32404.553
1,37,12966.017
1,38,37998.02
1,39,36247.594
1,41,20675.346
2,1,670.5913
2,3,285.58636
2,4,2332.395
2,5,10116.427
2,6,10031.346
2,31,4832.8164
2,30,8389.229
2,29,18829.467
2,24,24847.344
2,23,18254.984
2,25,43719.977
2,27,40203.504
2,28,29878.402
2,26,30401.625
2,22,52827.31
2,10,69409.2
2,11,46907.71
2,12,30078.377
2,13,37664.25
2,32,54706.26
2,33,30829.121
2,14,20711.28
2,15,18331.188
2,7,3162.3428
2,8,16659.803
2,9,16657.252
2,16,39874.258
2,17,32238.518
2,18,32784.812
2,19,43346.36
2,20,33399.633
2,21,50495.895
2,34,21595.799
2,35,10888.156
2,36,24847.344
2,37,19006.83
2,38,47056.71
2,39,45780.25
2,41,28455.28
3,1,1599.7773
3,2,239.76462
3,4,1033.9626
3,5,7008.0664
3,6,6973.406
3,31,2863.1873
3,30,5752.92
3,29,14890.477
3,24,20475.385
3,23,22231.44
3,25,47669.35
3,27,44255.574
3,28,25244.488
3,26,34547.027
3,22,47665.855
3,10,75352.27
3,11,52312.055
3,12,34744.758
3,13,42850.617
3,32,61332.406
3,33,35914.1
3,14,24911.098
3,15,22270.22
3,7,4942.435
3,8,20726.646
3,9,20682.033
3,16,44917.22
3,17,36512.113
3,18,36967.906
3,19,47699.13
3,20,37552.406
3,21,55790.53
3,34,25791.197
3,35,7871.8896
3,36,20475.385
3,37,23160.346
3,38,41962.21
3,39,51125.547
3,41,33046.445
4,1,4703.615
4,2,2125.3384
4,3,1012.4581
4,5,2507.585
4,6,2524.4841
4,31,486.20145
4,30,1930.8029
4,29,8167.893
4,24,12568.17
4,23,19063.338
4,25,47736.82
4,27,44713.086
4,28,16574.578
4,26,44700.03
4,22,36742.93
4,10,78868.38
4,11,61065.348
4,12,42981.07
