wkt_geom,id,building_id,level,age,access_point,time,comment,function,population
LINESTRING(30.317922 59.968461;30.317922 59.968461;30.317922 59.968461;30.317922 59.968461;30.317922 59.968461;30.317643 59.968521;30.317643 59.968521;30.317947 59.968509;30.317922 59.968461;30.317922 59.968461),9,1,1,0,1,4,salon krasoti,service,2
LINESTRING(30.317015 59.968222;30.317208 59.968098;30.317981 59.968416;30.317927 59.968458;30.317647 59.968517;30.317015 59.968222),14,1,3,0,1,0,hotel,service,0
LINESTRING(30.317015 59.968222;30.317217 59.968093;30.317981 59.968416;30.317927 59.968458;30.317647 59.968517;30.317015 59.968222),15,1,4,0,1,0,n/a,empty,0
LINESTRING(30.317015 59.968222;30.317208 59.968098;30.317748 59.968327;30.317615 59.968387;30.317542 59.968348;30.317404 59.968405;30.317015 59.968222;30.317015 59.968222),16,1,5,0,1,0,n/a,empty,0
LINESTRING(30.317748 59.968327;30.317981 59.968416;30.317927 59.968458;30.317647 59.968517;30.317505 59.968458;30.317748 59.968327),17,1,5,2,1,4,make it center,education,2
LINESTRING(30.317647 59.968517;30.317694 59.968603;30.317980 59.968569;30.317922 59.968461;30.317643 59.968521;30.317643 59.968521),18,1,5,2,1,4,krysha bar,restaurant,2
LINESTRING(30.318146 59.968551;30.318194 59.968655;30.317914 59.968686;30.317871 59.968588;30.318146 59.968551;30.318146 59.968551),68,12,1,3,1,4,mister chan,restaurant,1
LINESTRING(30.317317 59.968146;30.317317 59.968146;30.317505 59.968219;30.317400 59.968272;30.317221 59.968194;30.317317 59.968146;30.317317 59.968146),6,1,1,0,2,4,produkti,retail,3
LINESTRING(30.317652 59.968284;30.317404 59.968405;30.317647 59.968517;30.317927 59.968458;30.317981 59.968416;30.317656 59.968288;30.317656 59.968288),7,1,1,3,2,4,chou chou,restaurant,2
LINESTRING(30.317505 59.968219;30.317652 59.968284;30.317404 59.968405;30.317285 59.968348;30.317505 59.968219),8,1,1,3,2,2,burlesque entrance,entertainment,3
LINESTRING(30.317084 59.968249;30.317317 59.968146;30.317981 59.968416;30.317927 59.968458;30.317647 59.968517;30.317285 59.968348;30.317285 59.968348),11,1,2,3,2,2,burlesque2nd floor,entertainment,3
LINESTRING(30.317217 59.968093;30.317208 59.968098;30.316896 59.968080;30.316947 59.968222;30.317015 59.968222;30.317084 59.968249;30.317317 59.968146;30.317208 59.968098;30.317208 59.968098),5,1,1,3,3,4,ugly fashion shop,retail,2
LINESTRING(30.316896 59.968080;30.317208 59.968098;30.317317 59.968146;30.317084 59.968249;30.317015 59.968222;30.316947 59.968222;30.316896 59.968080),10,1,2,2,3,4,salon strijki,service,1
LINESTRING(30.316896 59.968080;30.317208 59.968098;30.317015 59.968222;30.316947 59.968222;30.316896 59.968080;30.316896 59.968080),12,1,3,0,3,0,n/a,empty,0
LINESTRING(30.316947 59.968222;30.316896 59.968080;30.317208 59.968098;30.317015 59.968222;30.316947 59.968222;30.316947 59.968222),13,1,4,0,3,0,n/a,empty,0
LINESTRING(30.316098 59.968039;30.316135 59.968198;30.316419 59.968195;30.316387 59.968055;30.316103 59.968037;30.316103 59.968037),19,2,1,3,4,4,stomatology,service,2
LINESTRING(30.316387 59.968055;30.316896 59.968080;30.316947 59.968222;30.316813 59.968200;30.316419 59.968195;30.316387 59.968055;30.316387 59.968055),20,2,1,3,4,4,helix,service,2
LINESTRING(30.316135 59.968198;30.316813 59.968200;30.316947 59.968222;30.316896 59.968080;30.316103 59.968037;30.316135 59.968198),29,2,2,3,4,1,helix,service,1
LINESTRING(30.316982 59.968418;30.316947 59.968222;30.316813 59.968200;30.316707 59.968230;30.316712 59.968335;30.316767 59.968411;30.316982 59.968418;30.316982 59.968418),25,2,1,3,5,1,helix,service,1
LINESTRING(30.316982 59.968418;30.316947 59.968222;30.316813 59.968200;30.316707 59.968230;30.316712 59.968335;30.316767 59.968411;30.316982 59.968418;30.316982 59.968418),26,2,2,3,5,1,helix,service,1
LINESTRING(30.316982 59.968418;30.316947 59.968222;30.316813 59.968200;30.316707 59.968230;30.316712 59.968335;30.316767 59.968411;30.316982 59.968418;30.316982 59.968418),27,2,3,3,5,1,helix,service,1
LINESTRING(30.316982 59.968418;30.316947 59.968222;30.316813 59.968200;30.316707 59.968230;30.316712 59.968335;30.316767 59.968411;30.316982 59.968418;30.316982 59.968418),28,2,4,3,5,1,helix,service,1
LINESTRING(30.316167 59.968301;30.316263 59.968661;30.317009 59.968560;30.316982 59.968418;30.316309 59.968502;30.316231 59.968301;30.316171 59.968303;30.316171 59.968303),21,2,1,3,6,1,helix,service,1
LINESTRING(30.316167 59.968301;30.316263 59.968661;30.317009 59.968560;30.316982 59.968418;30.316309 59.968502;30.316231 59.968301;30.316171 59.968303;30.316171 59.968303),22,2,2,3,6,1,helix,service,1
LINESTRING(30.316167 59.968301;30.316263 59.968661;30.317009 59.968560;30.316982 59.968418;30.316309 59.968502;30.316231 59.968301;30.316171 59.968303;30.316171 59.968303),23,2,3,3,6,1,helix,service,1
LINESTRING(30.316167 59.968301;30.316263 59.968661;30.317009 59.968560;30.316982 59.968418;30.316309 59.968502;30.316231 59.968301;30.316171 59.968303;30.316171 59.968303),24,2,4,3,6,1,helix,service,1
LINESTRING(30.317571 59.969034;30.317669 59.969218;30.318053 59.969168;30.318070 59.969205;30.318420 59.969165;30.318194 59.968655;30.317914 59.968686;30.317922 59.968707;30.317820 59.968720;30.317962 59.968985;30.317571 59.969034;30.317571 59.969034),70,12,1,3,7,1,garant,office,2
LINESTRING(30.317111 59.968802;30.317820 59.968720;30.317962 59.968985;30.317571 59.969034;30.317669 59.969218;30.318053 59.969168;30.318070 59.969205;30.318420 59.969165;30.318146 59.968551;30.317057 59.968685;30.317111 59.968802;30.317111 59.968802),71,12,2,3,7,1,garant,office,2
LINESTRING(30.317111 59.968802;30.317820 59.968720;30.318070 59.969205;30.318420 59.969165;30.318146 59.968551;30.317057 59.968685;30.317111 59.968802;30.317111 59.968802),72,12,3,3,7,2,nightclub,entertainment,2
LINESTRING(30.317111 59.968802;30.317820 59.968720;30.318070 59.969205;30.318420 59.969165;30.318146 59.968551;30.317057 59.968685;30.317111 59.968802;30.317111 59.968802),73,12,4,3,7,2,office,office,1
LINESTRING(30.317111 59.968802;30.317057 59.968685;30.317868 59.968584;30.317922 59.968707;30.317111 59.968802;30.317111 59.968802),69,12,1,3,8,1,n/a,office,1
LINESTRING(30.317303 59.968778;30.317323 59.968834;30.317133 59.968852;30.317111 59.968802;30.317303 59.968778;30.317303 59.968778),64,12,1,0,9,n/a,n/a,empty,0
LINESTRING(30.317303 59.968778;30.317323 59.968834;30.317133 59.968852;30.317111 59.968802;30.317303 59.968778;30.317303 59.968778),65,12,2,0,9,n/a,n/a,empty,0
LINESTRING(30.317303 59.968778;30.317323 59.968834;30.317133 59.968852;30.317111 59.968802;30.317303 59.968778;30.317303 59.968778),66,12,3,0,9,n/a,n/a,empty,0
LINESTRING(30.317303 59.968778;30.317323 59.968834;30.317133 59.968852;30.317111 59.968802;30.317303 59.968778;30.317303 59.968778),67,12,4,0,9,n/a,n/a,empty,0
LINESTRING(30.314650 59.970734;30.314668 59.970871;30.315171 59.970854;30.315145 59.970719;30.314650 59.970734;30.314650 59.970734),109,18,1,3,10,4,interiernii salon,retail,1
LINESTRING(30.315145 59.970719;30.315171 59.970854;30.316683 59.970803;30.316640 59.970481;30.316312 59.970492;30.316337 59.970677;30.315145 59.970719;30.315145 59.970719),110,18,1,0,10,n/a,n/a,empty,0
LINESTRING(30.314650 59.970734;30.314668 59.970871;30.315171 59.970854;30.315145 59.970719;30.314650 59.970734;30.314650 59.970734),111,18,4,3,10,1,institut geoproekynii,production,1
